"Year","EEZ","EZnm","EEZ.alt","Partgrp","Grp","Flag","Days","ALBc","BETc","YFTc"
2002,"FM","FSM","FM","FSM","FFA","CN",3079.461,1.865,386.302,117.611
2002,"FM","FSM","FM","FSM","FFA","FM",3204.47,0,518.675705,115.577281
2002,"FM","FSM","FM","FSM","FFA","JP",2279.702,3.087996,945.968097,578.611946
2002,"FM","FSM","FM","FSM","FFA","TW",2760,0.049,381.376,196.464
2002,"H4","HS4","HS","High Seas","High Seas","BZ",5,0.314,2.258,2.125
2002,"H4","HS4","HS","High Seas","High Seas","KR",254.302,23.161,104.776,88.601
2002,"H4","HS4","HS","High Seas","High Seas","TO",62.501,17.217933,19.514062,3.850162
2002,"H4","HS4","HS","High Seas","High Seas","TW",7,4.431,1.977,1.685
2002,"H4","HS4","HS","High Seas","High Seas","VU",1.998,1.696055,0.61165,0.6449
2002,"H5","HS5","HS","High Seas","High Seas","BZ",70,35.374,22.356,11.01
2002,"H5","HS5","HS","High Seas","High Seas","CN",97.069,102.72,19.616,12.781
2002,"H5","HS5","HS","High Seas","High Seas","JP",35.084,4.653222,20.425549,14.110943
2002,"H5","HS5","HS","High Seas","High Seas","KR",260.286,34.426,117.813,76.83
2002,"H5","HS5","HS","High Seas","High Seas","TO",51.486,12.002075,12.166175,8.872999
2002,"H5","HS5","HS","High Seas","High Seas","TW",116,92.553,27.268,13.817
2002,"H5","HS5","HS","High Seas","High Seas","VU",63.373,122.270573,16.693657,19.051368
2002,"HW","Hawaii","US","US Zones","US Zones","US",4189.454,93.83882,1618.541919,125.385809
2002,"I1","Int1","HS","High Seas","High Seas","BZ",2,0,0.88,0.35
2002,"I1","Int1","HS","High Seas","High Seas","CN",278.33,0,34.115,12.12
2002,"I1","Int1","HS","High Seas","High Seas","JP",4549.698,5.163792,1370.824288,811.384517
2002,"I1","Int1","HS","High Seas","High Seas","TW",34021.987,0,3554.1415,4917.633589
2002,"I2","Int2","HS","High Seas","High Seas","BZ",33,4.251,17.375,19.878
2002,"I2","Int2","HS","High Seas","High Seas","CN",128.765,29.221,17.477,20.789
2002,"I2","Int2","HS","High Seas","High Seas","FJ",518.075,229.198241,100.989374,95.094273
2002,"I2","Int2","HS","High Seas","High Seas","JP",1978.15,254.883057,1779.246164,3406.734312
2002,"I2","Int2","HS","High Seas","High Seas","KR",528.55,55.47,202.205,271.347
2002,"I2","Int2","HS","High Seas","High Seas","TO",84.433,7.743041,2.212397,7.830473
2002,"I2","Int2","HS","High Seas","High Seas","TW",197,63.027,20.029,33.135
2002,"I2","Int2","HS","High Seas","High Seas","VU",215.531,47.841863,36.67695,85.301709
2002,"I3","Int3","HS","High Seas","High Seas","JP",5392.19,2992.347192,746.115464,1169.01915
2002,"I3","Int3","HS","High Seas","High Seas","TW",14580.852,0.25,1523.2035,2107.557253
2002,"I4","Int4","HS","High Seas","High Seas","BZ",1250.111,527.229,360.684004,333.182504
2002,"I4","Int4","HS","High Seas","High Seas","CN",8522.607,0,629.481977,713.0305
2002,"I4","Int4","HS","High Seas","High Seas","JP",5183.596,354.69246,6677.023126,2411.901857
2002,"I4","Int4","HS","High Seas","High Seas","KR",21918.45,1562.28,11221.855285,5818.3615
2002,"I4","Int4","HS","High Seas","High Seas","TW",12585.333,0,4251.367044,2303.008
2002,"I4","Int4","HS","High Seas","High Seas","VU",28.077,21.403502,5.20306,0.825139
2002,"I5","Int5","HS","High Seas","High Seas","BZ",1250.111,527.229,360.684004,333.182504
2002,"I5","Int5","HS","High Seas","High Seas","CN",8522.607,0,629.481977,713.0305
2002,"I5","Int5","HS","High Seas","High Seas","JP",3429.081,92.3203,4983.721099,1402.503328
2002,"I5","Int5","HS","High Seas","High Seas","KR",21918.45,1562.28,11221.855285,5818.3615
2002,"I5","Int5","HS","High Seas","High Seas","PF",2.722,0.902742,0.216195,0.05972
2002,"I5","Int5","HS","High Seas","High Seas","TW",12465.333,0,4236.416044,2300.6
2002,"I5","Int5","HS","High Seas","High Seas","US",2442.937,154.403834,700.744468,119.465746
2002,"I5","Int5","HS","High Seas","High Seas","VU",172.906,177.397246,4.106516,7.074214
2002,"I6","Int6","HS","High Seas","High Seas","BZ",136,172.586,6.844,0.933
