"Year","EEZ","EZnm","Days","ALBc","BETc","YFTc"
2009,"I6","HS6",50978.802,24645.218931,8355.296921,4298.090902
2009,"I7","HS7",11471.18,24890.337712,660.006615,122.375116
2009,"I8","HS8",1178.115,767.855388,18.437825,191.612235
2009,"I9","HS9",505.339,630.156657,30.493281,43.835564
2009,"ID","Indonesia",40066.75,10.36,5863.873,26066.973
2009,"IW","Misc International Waters",1.008,0.401606,0.030321,0.404888
2009,"JP","Japan",5058.844,427.189947,2331.877028,1164.575006
2009,"JT","Johnston",370.889,32.306804,90.460186,15.950808
2009,"LN","Line Islands",9381.81,673.346861,5009.486405,1955.031021
2009,"MA","Mathew Hunter",14.697,19.710683,0.620345,1.165582
2009,"MH","Marshall Islands",5886.914,91.598558,2334.552858,898.964397
2009,"NC","New Caledonia",2743.332,1640.064003,50.869492,486.822269
2009,"NF","Forfolk Island",17.831,0.266327,0.580989,0.324419
2009,"NU","Niue",2392.335,240.904345,14.736249,26.676218
2009,"NZ","New Zealand",3210.428,421.857486,252.946888,3
2009,"PF","French Polynesia",7607.031,3557.757734,586.476155,713.940605
2009,"PG","PNG",4172.638,968.734049,139.317493,2960.444488
2009,"PH","Philippines",2109.583,0,221.4,2038.6
2009,"PW","Palau",2826.947,6.95799,864.999966,357.971015
2009,"PX","Phoenix Islands",4948.898,320.256083,3440.171313,1527.242207
2009,"PY","Palmyra",137.717,0,46.558466,33.073232
2009,"SB","Solomon Islands",15468.378,10161.029628,1612.821852,9688.228888
2009,"TO","Tonga",668.463,124,38,109
2009,"TV","Tuvalu",1016.676,354.637112,340.125425,482.184773
2009,"TW","Taiwan",3790.417,256,406,3886.5
2009,"VN","Vietnam",15311.25,13,2992,9244
2009,"VU","Vanuatu",7759.771,5484.666393,180.764913,1798.395797
2009,"WS","Samoa",4860.707,2816,117,412
2010,"AS","American Samoa",3893,2837.776484,212.563588,298.256994
2010,"AU","Australia",5843.661,744.661785,456.843967,1353.370492
